ACTS,REG,Scenario,Year,Value
grain,IDN,GDPEndoSSP2_noWaste,2017,9332.2421875
grain,MYS,GDPEndoSSP2_noWaste,2017,28.8571701049805
grain,OCE,GDPEndoSSP2_noWaste,2017,3013.73876953125
grain,GBR,GDPEndoSSP2_noWaste,2017,1182.27746582031
grain,CHE,GDPEndoSSP2_noWaste,2017,183.659973144531
grain,REUR,GDPEndoSSP2_noWaste,2017,6425.1552734375
grain,NOR,GDPEndoSSP2_noWaste,2017,333.362640380859
grain,NAF,GDPEndoSSP2_noWaste,2017,2738.22290039063
grain,KOR,GDPEndoSSP2_noWaste,2017,126.978660583496
veg,CAN,GDPEndoSSP2_noWaste,2017,1344.74157714844
veg,USA,GDPEndoSSP2_noWaste,2017,12604.2998046875
veg,BRA,GDPEndoSSP2_noWaste,2017,2436.15747070313
veg,MEX,GDPEndoSSP2_noWaste,2017,5371.57470703125
veg,ARG,GDPEndoSSP2_noWaste,2017,924.856262207031
veg,RLAM,GDPEndoSSP2_noWaste,2017,3377.95092773438
veg,COL,GDPEndoSSP2_noWaste,2017,581.744445800781
veg,CAM,GDPEndoSSP2_noWaste,2017,2061.85913085938
veg,RUS,GDPEndoSSP2_noWaste,2017,3544.49365234375
veg,AUT,GDPEndoSSP2_noWaste,2017,240.920349121094
veg,IRL,GDPEndoSSP2_noWaste,2017,227.33544921875
veg,HUN,GDPEndoSSP2_noWaste,2017,634.302673339844
veg,DEU,GDPEndoSSP2_noWaste,2017,1677.12243652344
veg,FIN,GDPEndoSSP2_noWaste,2017,237.999618530273
veg,EST,GDPEndoSSP2_noWaste,2017,22.1854705810547
veg,DNK,GDPEndoSSP2_noWaste,2017,273.884002685547
veg,CZE,GDPEndoSSP2_noWaste,2017,80.8953475952148
veg,RESTEU,GDPEndoSSP2_noWaste,2017,226.2060546875
veg,ITA,GDPEndoSSP2_noWaste,2017,6553.8046875
veg,BEL,GDPEndoSSP2_noWaste,2017,463.033721923828
veg,GRC,GDPEndoSSP2_noWaste,2017,1213.32250976563
veg,BGR,GDPEndoSSP2_noWaste,2017,174.872909545898
veg,ROU,GDPEndoSSP2_noWaste,2017,1478.61450195313
veg,LVA,GDPEndoSSP2_noWaste,2017,60.9504547119141
veg,ESP,GDPEndoSSP2_noWaste,2017,6363.1806640625
veg,FRA,GDPEndoSSP2_noWaste,2017,5425.962890625
veg,SVK,GDPEndoSSP2_noWaste,2017,35.59885597229
veg,SWE,GDPEndoSSP2_noWaste,2017,170.04345703125
veg,PRT,GDPEndoSSP2_noWaste,2017,923.283630371094
veg,POL,GDPEndoSSP2_noWaste,2017,2143.62475585938
veg,NLD,GDPEndoSSP2_noWaste,2017,4342.99267578125
veg,LTU,GDPEndoSSP2_noWaste,2017,125.53052520752
veg,SVN,GDPEndoSSP2_noWaste,2017,88.0734786987305
veg,AFR,GDPEndoSSP2_noWaste,2017,13391.900390625
veg,TUR,GDPEndoSSP2_noWaste,2017,4114.59033203125
veg,ZAF,GDPEndoSSP2_noWaste,2017,532.15673828125
veg,COCOA,GDPEndoSSP2_noWaste,2017,6301.1640625
veg,EAS,GDPEndoSSP2_noWaste,2017,36039.69140625
veg,ME,GDPEndoSSP2_noWaste,2017,9600.912109375
veg,STAN,GDPEndoSSP2_noWaste,2017,3687.82373046875
veg,CHN,GDPEndoSSP2_noWaste,2017,192576.71875
veg,IND,GDPEndoSSP2_noWaste,2017,49613.0234375
veg,JPN,GDPEndoSSP2_noWaste,2017,10911.4677734375
veg,IDN,GDPEndoSSP2_noWaste,2017,8741.443359375
veg,MYS,GDPEndoSSP2_noWaste,2017,462.828369140625
veg,OCE,GDPEndoSSP2_noWaste,2017,2011.16809082031
veg,GBR,GDPEndoSSP2_noWaste,2017,2891.384765625
veg,CHE,GDPEndoSSP2_noWaste,2017,686.163757324219
veg,REUR,GDPEndoSSP2_noWaste,2017,3571.26416015625
veg,NOR,GDPEndoSSP2_noWaste,2017,409.7431640625
veg,NAF,GDPEndoSSP2_noWaste,2017,5652.35595703125
veg,KOR,GDPEndoSSP2_noWaste,2017,7936.36181640625
fruit,CAN,GDPEndoSSP2_noWaste,2017,1078.97802734375
fruit,USA,GDPEndoSSP2_noWaste,2017,31535.25
fruit,BRA,GDPEndoSSP2_noWaste,2017,13942.419921875
fruit,MEX,GDPEndoSSP2_noWaste,2017,10059.5224609375
fruit,ARG,GDPEndoSSP2_noWaste,2017,2898.93994140625
fruit,RLAM,GDPEndoSSP2_noWaste,2017,18205.162109375
fruit,COL,GDPEndoSSP2_noWaste,2017,6080.1171875
fruit,CAM,GDPEndoSSP2_noWaste,2017,12847.1552734375
fruit,RUS,GDPEndoSSP2_noWaste,2017,4515.44140625
fruit,AUT,GDPEndoSSP2_noWaste,2017,751.815856933594
fruit,IRL,GDPEndoSSP2_noWaste,2017,90.8677749633789
fruit,HUN,GDPEndoSSP2_noWaste,2017,742.831970214844
fruit,DEU,GDPEndoSSP2_noWaste,2017,4138.931640625
fruit,FIN,GDPEndoSSP2_noWaste,2017,168.696105957031
fruit,EST,GDPEndoSSP2_noWaste,2017,11.0148248672485
fruit,DNK,GDPEndoSSP2_noWaste,2017,185.803131103516
fruit,CZE,GDPEndoSSP2_noWaste,2017,214.629699707031
fruit,RESTEU,GDPEndoSSP2_noWaste,2017,616.79736328125
fruit,ITA,GDPEndoSSP2_noWaste,2017,12002.7607421875
fruit,BEL,GDPEndoSSP2_noWaste,2017,1617.72961425781
fruit,GRC,GDPEndoSSP2_noWaste,2017,3237.1083984375
fruit,BGR,GDPEndoSSP2_noWaste,2017,182.767623901367
fruit,ROU,GDPEndoSSP2_noWaste,2017,2438.05883789063
fruit,LVA,GDPEndoSSP2_noWaste,2017,84.0373840332031
fruit,ESP,GDPEndoSSP2_noWaste,2017,13487.548828125
fruit,FRA,GDPEndoSSP2_noWaste,2017,16019.2373046875
fruit,SVK,GDPEndoSSP2_noWaste,2017,84.5432205200195
fruit,SWE,GDPEndoSSP2_noWaste,2017,170.844436645508
fruit,PRT,GDPEndoSSP2_noWaste,2017,3032.99194335938
fruit,POL,GDPEndoSSP2_noWaste,2017,1525.15576171875
fruit,NLD,GDPEndoSSP2_noWaste,2017,5207.94287109375
fruit,LTU,GDPEndoSSP2_noWaste,2017,170.288772583008
fruit,SVN,GDPEndoSSP2_noWaste,2017,159.957077026367
fruit,AFR,GDPEndoSSP2_noWaste,2017,28437.447265625
fruit,TUR,GDPEndoSSP2_noWaste,2017,11569.42578125
fruit,ZAF,GDPEndoSSP2_noWaste,2017,5109.3203125
fruit,COCOA,GDPEndoSSP2_noWaste,2017,9972.58203125
fruit,EAS,GDPEndoSSP2_noWaste,2017,24006.390625
fruit,ME,GDPEndoSSP2_noWaste,2017,32951.3203125
fruit,STAN,GDPEndoSSP2_noWaste,2017,6446.3046875
fruit,CHN,GDPEndoSSP2_noWaste,2017,201319
fruit,IND,GDPEndoSSP2_noWaste,2017,52647.6171875
fruit,JPN,GDPEndoSSP2_noWaste,2017,10769.5654296875
fruit,IDN,GDPEndoSSP2_noWaste,2017,10579.5751953125
fruit,MYS,GDPEndoSSP2_noWaste,2017,439.19287109375
fruit,OCE,GDPEndoSSP2_noWaste,2017,5584.828125
fruit,GBR,GDPEndoSSP2_noWaste,2017,1422.36486816406
fruit,CHE,GDPEndoSSP2_noWaste,2017,961.989379882812
fruit,REUR,GDPEndoSSP2_noWaste,2017,3888.07202148438
fruit,NOR,GDPEndoSSP2_noWaste,2017,245.140808105469
fruit,NAF,GDPEndoSSP2_noWaste,2017,17919.55078125
fruit,KOR,GDPEndoSSP2_noWaste,2017,5032.7880859375
nuts,CAN,GDPEndoSSP2_noWaste,2017,28.8140850067139
nuts,USA,GDPEndoSSP2_noWaste,2017,18525.501953125
nuts,BRA,GDPEndoSSP2_noWaste,2017,677.544799804688
nuts,MEX,GDPEndoSSP2_noWaste,2017,601.961364746094
nuts,ARG,GDPEndoSSP2_noWaste,2017,42.6259841918945
nuts,RLAM,GDPEndoSSP2_noWaste,2017,1304.32861328125
nuts,COL,GDPEndoSSP2_noWaste,2017,39.1094360351563
nuts,CAM,GDPEndoSSP2_noWaste,2017,476.045654296875
nuts,RUS,GDPEndoSSP2_noWaste,2017,92.324836730957
nuts,AUT,GDPEndoSSP2_noWaste,2017,28.0128173828125
nuts,IRL,GDPEndoSSP2_noWaste,2017,1.97448813915253
nuts,HUN,GDPEndoSSP2_noWaste,2017,58.6919364929199
nuts,DEU,GDPEndoSSP2_noWaste,2017,709.257507324219
