Region,Scenario,Sector,outcome,value,adm0_iso
Belgium,Pollination_20perc,Processed/packaged food and meats,abs_change,-24.9386703154596,BEL
Belgium,Pollination_20perc,Processed/packaged food and meats,pct_change,-5e-4,BEL
Belgium,Pollination_100pc,Services,abs_change,111.387027998338,BEL
Belgium,Pollination_100pc,Services,pct_change,2e-4,BEL
Belgium,Pollination_20perc,Services,abs_change,20.1234996559796,BEL
Belgium,Pollination_20perc,Services,pct_change,0,BEL
France,Pollination_100pc,Agricultural products,abs_change,-3002.7012973998,FRA
France,Pollination_100pc,Agricultural products,pct_change,-0.0344,FRA
France,Pollination_20perc,Agricultural products,abs_change,-573.877639877056,FRA
France,Pollination_20perc,Agricultural products,pct_change,-0.0066,FRA
France,Pollination_100pc,"Apparel, accessories & luxury goods",abs_change,549.688307062875,FRA
France,Pollination_100pc,"Apparel, accessories & luxury goods",pct_change,0.0147,FRA
France,Pollination_20perc,"Apparel, accessories & luxury goods",abs_change,97.2392338276695,FRA
France,Pollination_20perc,"Apparel, accessories & luxury goods",pct_change,0.0026,FRA
France,Pollination_100pc,Beverages and tobacco products,abs_change,-201.380466368347,FRA
France,Pollination_100pc,Beverages and tobacco products,pct_change,-0.0044,FRA
France,Pollination_20perc,Beverages and tobacco products,abs_change,-31.986101105962,FRA
France,Pollination_20perc,Beverages and tobacco products,pct_change,-7e-4,FRA
France,Pollination_100pc,Coal & consumable fuels,abs_change,-467.761683195945,FRA
France,Pollination_100pc,Coal & consumable fuels,pct_change,-0.0076,FRA
France,Pollination_20perc,Coal & consumable fuels,abs_change,-102.029854235799,FRA
France,Pollination_20perc,Coal & consumable fuels,pct_change,-0.0017,FRA
France,Pollination_100pc,Electricity,abs_change,309.292827785568,FRA
France,Pollination_100pc,Electricity,pct_change,0.0032,FRA
France,Pollination_20perc,Electricity,abs_change,52.2825556843163,FRA
France,Pollination_20perc,Electricity,pct_change,5e-4,FRA
France,Pollination_100pc,Fertilizers,abs_change,2.06531768467766,FRA
France,Pollination_100pc,Fertilizers,pct_change,0.0026,FRA
France,Pollination_20perc,Fertilizers,abs_change,0.428155706631628,FRA
France,Pollination_20perc,Fertilizers,pct_change,5e-4,FRA
France,Pollination_100pc,Food services,abs_change,-907.436122828628,FRA
France,Pollination_100pc,Food services,pct_change,-9e-4,FRA
France,Pollination_20perc,Food services,abs_change,-152.546295249252,FRA
France,Pollination_20perc,Food services,pct_change,-2e-4,FRA
France,Pollination_100pc,Forest products,abs_change,188.925317615867,FRA
France,Pollination_100pc,Forest products,pct_change,0.0025,FRA
France,Pollination_20perc,Forest products,abs_change,31.3759400766139,FRA
France,Pollination_20perc,Forest products,pct_change,4e-4,FRA
France,Pollination_100pc,Industrials,abs_change,4644.42771665775,FRA
France,Pollination_100pc,Industrials,pct_change,0.0039,FRA
France,Pollination_20perc,Industrials,abs_change,764.738549709552,FRA
France,Pollination_20perc,Industrials,pct_change,6e-4,FRA
France,Pollination_100pc,Industrials/Transport,abs_change,588.000059931888,FRA
France,Pollination_100pc,Industrials/Transport,pct_change,0.0021,FRA
